web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,guarantee_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
1734007308-174,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-20-tfsi-s-tronic-12017626,AUDI A4 2.0 TFSI S-tronic,***Audi A4 TFSI 190PS*** // CH-Fahrzeug // MFK Neu // Sehr gepflegt // 8 Fach Bereifung...,CHF 20'500.–,Calendar icon11.2018Car iconLimousineRoad icon91'756 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconVorderradantriebConsumption icon5.1 l/100 km,11.2018,91'756 km,Halbautomatisches Getriebe,Vorderradantrieb,Limousine,Benzin,190 PS (140 kW),5.1 l/100 km,Ja,Nein,Ja,"*** Kunden Fahrzeug ***

-Fahrzeug wird im Kundenauftrag verkauft. Telefonische Auskünfte sowie für Besichtgungen melden Sie sich bitte beim Herr Armin. 
-Preis ist leicht Verhandelbar ...",AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAblagen in den TürenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen,Elite Garage - Autohaus GmbH,"Glarnerstrasse 34, 8854 Siebnen",,Mobil 079 322 87 74
1734007310-175,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-18-tfsi-multitronic-12026235,AUDI A4 Avant 1.8 TFSI multitronic,Abplatz / Motorlampe leuchtet / Motor lauft unruhig / Fahrbar,CHF 3'200.–,Calendar icon10.2009Car iconKombiRoad icon227'800 kmGas station iconBenzinTransmission iconStufenlosVehicle power icon160 PS (118 kW)Drive type iconVorderradantriebConsumption icon7.5 l/100 kmF,10.2009,227'800 km,Stufenlos,Vorderradantrieb,Kombi,Benzin,160 PS (118 kW),7.5 l/100 km,Nein,10.11.2022,Nein,"Herzlich Willkommen bei Mudi Autohandel, Ihr Partner für den Export Auto Ver & Ankauf in der ganzen Schweiz.

Das Auto wurde nicht nach Mängel geprüft und wird abplatz und ohne Garantie verkauft. ...",AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen Plätzen8-Stufen-Automat MultitronicAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAlu-Räder 7.5Jx16 6-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,Mudi Autohandel,"Emausstrasse 1, 5621 Zufikon",,Mobil 079 100 33 23
1734007312-176,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-tdi-quattro-s-tronic-12008871,AUDI A4 Avant 3.0 TDI quattro S-tronic,° Top Angebot ° S-Line ° Panorama ° Bang & Olufsen Soundsystem ° Servicegepflegt bei Audi ° 1.Hand ° CH-Fahrzeug °,CHF 15'900.–,Calendar icon04.2012Car iconKombiRoad icon124'000 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon245 PS (180 kW)Drive type iconAllradConsumption icon5.9 l/100 km,04.2012,124'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Ja,12.12.2023,Ja,"Leasing Variante:
Preis 15900 Fr.-
Anzahlung 1000Fr.-
Restwert 4000 Fr .-
35 Monate = 365.10Fr.-

FAHRZEUGEINTAUSCH:
Gerne unterbreiten wir Ihnen ein Eintauschangebot ...",AusstattungenOptionale AusstattungAbgedunkeltes Scheibenglas (ab B-Säule)AblagenpaketAdaptive lightArmauflagen Türen in LederBang & Olufsen SoundsystemDachhimmel schwarzDachreling blankFahrwerk: SportfahrwerkFensterschachtzierleisten in AluminiumGarantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Arrow down iconMehr anzeigen,Le Fossi Automobile,"Wägitalstrasse 18, 8854 Siebnen",,Geschäft 076 280 88 58
1734007315-177,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tdi-quattro-12016180,AUDI A4 Avant 2.0 TDI quattro,,CHF 3'990.–,Calendar icon03.2008Car iconKombiRoad icon223'000 kmGas station iconDieselTransmission iconSchaltgetriebe manuellVehicle power icon170 PS (125 kW)Drive type iconAllradConsumption icon6.8 l/100 kmF,03.2008,223'000 km,Schaltgetriebe manuell,Allrad,Kombi,Diesel,170 PS (125 kW),6.8 l/100 km,Ja,02.12.2024,Nein,Ringsum leichte kratzer,"AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7,5Jx16 7-Arm-DesignAlu-Räder 7,5Jx17 5-Arm-DesignAlu-Räder 7,5X17J im 16-Speichen-DesignAlu-Räder 7,5X17J im 9-Speichen-DesignArrow down iconMehr anzeigen",Autogarage Zurlinde GmbH,"Zurlindenstrasse 218a, 8003 Zürich",,Geschäft 043 810 55 00
1734007318-178,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tdi-12015211,AUDI A4 Avant 2.0 TDI,**LED**Xenon**Tempomat**Navigation**DAB**el. Heckdeckel**Bluetooth**,CHF 15'990.–,Calendar icon07.2016Car iconKombiRoad icon127'000 kmGas station iconDieselTransmission iconSchaltgetriebe manuellVehicle power icon150 PS (110 kW)Drive type iconVorderradantriebConsumption icon4 l/100 kmA,07.2016,127'000 km,Schaltgetriebe manuell,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4 l/100 km,Ja,26.11.2024,Ja,"- Über 300 Fahrzeuge auf www.wb-garage.ch
- Plus de 300 véhicules sur www.wb-garage.ch

Wichtige, nennenswerte Ausstattung:
*schon ab CHF 279.90 pro Monat erhältlich
*frisch ab ...",AusstattungenOptionale AusstattungAblagenpaketAssistenz PaketAudi side assist inkl. pre sense rearUmgebungskameras + ParklenkassistentAudi Sound SystemAudi connect (3 Jahre)EinparkhilfeInfotainment PaketAudi Sound SystemAudi connectMMI Navigationssystem PlusMedia: Audi Phone BoxMultifunktionslenkradNotrufsystemInnenspiegel automatisch abblendbarLED ScheinwerferLicht- und RegensensorLichtpaketArrow down iconMehr anzeigen,Winkelbüel Garage AG,"Sinserstrasse 400, 6330 Cham ZG",,Geschäft 041 790 23 23
1734007320-179,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-s-tronic-12017250,AUDI A4 Avant 40 TDI S line S-tronic,"CH-FAHRZEUG AUS 1-HAND * GRATIS SERVICE: 10 JAHRE ODER KM. 100`000 *
S-LINE EXTERIEUR * S-LINE INTERIEUR * S-LINE 19"" RÄDER",CHF 29'900.–,Calendar icon09.2020Car iconKombiRoad icon84'500 kmGas station iconDieselTransmission iconAutomatVehicle power icon190 PS (140 kW)Drive type iconVorderradantriebConsumption icon6.6 l/100 kmE,09.2020,84'500 km,Automat,Vorderradantrieb,Kombi,Diesel,190 PS (140 kW),6.6 l/100 km,Nein,Nein,Nein,"- CH-Fahrzeug aus 1-Hand
- Gratis Service: 10 Jahre oder 100`000 Km. ( ab 1. Inv. )


- S-Line Sportpaket Exterieur
- S-Line Sportpaket Interieur
- S-Line Sportfahrwerk ...",AusstattungenOptionale AusstattungAssist: Audi active lane assist mit kamerabasierter VerkehrszeichenerkennungAssist: Geschwindigkeitsregelanlage inklusive GeschwindigkeitsbegrenzerAssist: Kamerabasierte VerkehrszeichenerkennungAssist: Parkassistent mit Einparkhilfe plusAudi connect SchlüsselAudi virtual cockpit plusDachhimmel schwarzDekor: Akzentflächen Glasoptik schwarzDekor: Dekoreinlagen in Aluminium matt gebürstetFahrwerk: Komfortfahrwerk mit DämpferregelungArrow down iconMehr anzeigen,AutoCenter Spreitenbach GmbH,"Güterstr. 11, 8957 Spreitenbach",,Geschäft 056 401 50 56
1734007322-180,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-35-tdi-advanced-s-tronic-12008049,AUDI A4 Avant 2.0 35 TDI Advanced S-Tronic,Besichtigung/Probefahrt nur auf Voranmeldung möglich.,CHF 25'800.–,Calendar icon04.2021Car iconKombiRoad icon40'000 kmGas station iconMild-Hybrid Diesel/ElektroTransmission iconHalbautomatisches GetriebeVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon5.2 l/100 kmC,04.2021,40'000 km,Halbautomatisches Getriebe,Vorderradantrieb,Kombi,Mild-Hybrid Diesel/Elektro,163 PS (120 kW),5.2 l/100 km,Ja,29.11.2024,Ja,"Vielen Dank für Ihr Interesse an unserem Fahrzeug. Gerne stehen wir für Auskünfte zur Verfügung.

Besichtigung/Probefahrt:
Besichtigung/Probefahrt nur auf Voranmeldung möglich. 
 ...",AusstattungenOptionale AusstattungAnfahrassistentAudi Phone BoxAudi smartphone interfaceAussenspiegel elektrisch anklappbar/ automatisch abblendendPack InfotainmentAudi Phone BoxAudi Sound SystemAudi connectFahrerinformationssystem mit FarbdisplayMMI Navigation plusMultifunktions-Ledersportlenkrad 3-SpeichenPack TechnikInnenspiegel automatisch abblendbarKlimaautomat plus 3-ZonenLED-ScheinwerferPark-System plus vorne + hintenTempostatScheiben abgedunkeltSitzheizung für VordersitzeSerienmässige AusstattungABS und EBV Elektr. BremskraftverteilungAirbag Fahrer und BeifahrerseiteArrow down iconMehr anzeigen,Stalder AG,"Schäracher 1, 6232 Geuensee",,Geschäft 041 798 09 41
1734007325-181,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-turbo-fsi-quattro-12032160,AUDI A4 Avant 2.0 Turbo FSI quattro,,CHF 3'999.–,Calendar icon10.2007Car iconKombiRoad icon215'000 kmGas station iconBenzinTransmission iconAutomatVehicle power icon200 PS (147 kW)Drive type iconAllradConsumption icon9.1 l/100 kmG,10.2007,215'000 km,Automat,Allrad,Kombi,Benzin,200 PS (147 kW),9.1 l/100 km,Ja,08.11.2022,Nein,Die Ersatz pneu neu 2024 jg,"AusstattungenOptionale Ausstattung6-Stufen-Automat TiptronicSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7,5Jx16 7-Arm-DesignAlu-Räder 7,5Jx17 5-Arm-DesignAlu-Räder 7,5X17J im 16-Speichen-DesignArrow down iconMehr anzeigen",auto bruno,8951 Fahrweid,,Mobil 079 815 99 99
1734007327-182,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-252-sport-quattro-s-tronic-12004223,AUDI A4 Avant 2.0 TFSI 252 Sport quattro S-tronic,Fahrzeug neu ab MFK Gratiswartung 10Jahre oder bis 100'000Km ab1.Inverkehrsetzung Rückfahrkamera 8-fach bereift,CHF 32'500.–,Calendar icon04.2017Car iconKombiRoad icon72'800 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon252 PS (185 kW)Drive type iconAllradConsumption icon6.3 l/100 kmE,04.2017,72'800 km,Halbautomatisches Getriebe,Allrad,Kombi,Benzin,252 PS (185 kW),6.3 l/100 km,Ja,20.11.2024,Ja,"Pack Ablage
Pack Sport S-Line
Pack Exterieur S-Line
Pack Technik
Pack Infotainment
Komfortschlüssel/ Gepäckraumentriegelung/ Klappe elektrisch
Aussenspiegel elektrisch anklappbar/ ...","AusstattungenOptionale AusstattungAblagenpaketArmlehne vorne mit AblagefachAssist: Audi hold assistAssist: Einparkhilfe plusAssist: RückfahrkameraAssistenz PaketAdaptive cruise controlAssist: Audi active lane assistVerkehrszeichenerkennung RSIAudi Sound SystemAudi connect (3 Jahre)Audi side assist inkl. pre sense rearAudi virtual cockpit 12,3''Arrow down iconMehr anzeigen",Garage Bucher,"Sulzerstrasse 34, 6289 Hämikon",,Geschäft 041 919 60 00
1734007330-183,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-av-45-tfsi-s-tronic-quattro-5-jahre-werksgarantie-frisch-ab-mfk-12013321,AUDI A4 Av. 45 TFSI S-tronic quattro**5 Jahre Werksgarantie**Frisch ab MFK**,"Top Zustand / Panodach / Tempomat ACC / Rückfahrtkamera / 5 Jahre Audi Werksgarantie / 
Frischer MFK / Frischer Service / Top",CHF 39'999.–,Calendar icon09.2023Car iconKombiRoad icon26'000 kmGas station iconMild-Hybrid Benzin/ElektroTransmission iconHalbautomatisches GetriebeVehicle power icon265 PS (195 kW)Drive type iconAllradConsumption icon-,09.2023,26'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Mild-Hybrid Benzin/Elektro,265 PS (195 kW),-,Ja,25.11.2024,Ja,"Der Audi A4 avant 45TFSI quattro befindet sich in einem Top Zustand. Zudem hat es 5 Jahre oder 100‘000km AUDI Herstellergarantie. 
Ebenfalls wird es frisch ab MFK und Service verkauft.

**Sonderausstattungen ...",AusstattungenOptionale AusstattungAirbag: Seitenairbags hintenAssist: AnfahrassistentAssist: Parkassistent mit Einparkhilfe plusAssist: RückfahrkameraAssist: Spurverlassenswarnung inkl. Audi pre sense rearAudi connect SchlüsselAudi pre sense basicAudi virtual cockpit plusAussenspiegel rechts und links beheizbar und elektrisch anklappbarAussenspiegelgehäuse in Schwarz glänzendArrow down iconMehr anzeigen,GSD Auto GmbH,"Sägereistrasse 3, 8500 Frauenfeld",,Geschäft 079 891 90 09
1734007332-184,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-tdi-sport-quattro-s-tronic-12034342,AUDI A4 Avant 3.0 TDI Sport quattro S-tronic,,CHF 22'500.–,Calendar icon04.2016Car iconKombiRoad icon109'300 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon218 PS (160 kW)Drive type iconAllradConsumption icon4.9 l/100 kmC,04.2016,109'300 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,218 PS (160 kW),4.9 l/100 km,Ja,Nein,Ja,,"AusstattungenOptionale Ausstattung3 Speichen-LederlenkradAbgedunkelte Seiten- und HeckscheibeAblagenpaketAlu-Räder 8,5Jx19 im 10-Speichen-DesignBeide Make up-Spiegel beleuchtetDachhimmel schwarzFahrer-Informationssystem mit FarbdisplayFahrwerk: SportfahrwerkInfotainment PaketAudi Sound SystemAudi connectMMI Navigationssystem PlusMedia: Audi Phone BoxMultifunktionslenkradNotrufsystemLED ScheinwerferArrow down iconMehr anzeigen",PRODESIGN GmbH,"Oholten 3, 5703 Seon",,Geschäft 079 344 43 12
1734007334-185,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-v6-tdi-quattro-12050091,AUDI A4 Avant 3.0 V6 TDI quattro,,CHF 1'499.–,Calendar icon03.2005Car iconKombiRoad icon220'000 kmGas station iconDieselTransmission iconSchaltgetriebe manuellVehicle power icon204 PS (150 kW)Drive type iconAllradConsumption icon7.9 l/100 kmG,03.2005,220'000 km,Schaltgetriebe manuell,Allrad,Kombi,Diesel,204 PS (150 kW),7.9 l/100 km,Nein,08.12.2019,Nein,Automat.,AusstattungenSerienmässige Ausstattung3 Kopfstützen hintenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7Jx16 9-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,Swisscars,"Zentralstrasse 9, 6036 Dierikon",,Geschäft 079 606 58 00
1734007336-186,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-35-tdi-advanced-s-tronic-12004294,AUDI A4 Avant 35 TDI advanced S-tronic,CH-FZ*frisch ab MFK*MMI Navi Plus*Virtual Cockpit*Technik-Paket*Infotainement-Paket*Assistenz-Tour-Paket*LED*Keyless*uvm,CHF 22'900.–,Calendar icon07.2020Car iconKombiRoad icon98'330 kmGas station iconMild-Hybrid Diesel/ElektroTransmission iconHalbautomatisches GetriebeVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon5.5 l/100 kmC,07.2020,98'330 km,Halbautomatisches Getriebe,Vorderradantrieb,Kombi,Mild-Hybrid Diesel/Elektro,163 PS (120 kW),5.5 l/100 km,Ja,Nein,Ja,"***Herzlich willkommen bei Albini Auto GmbH***

**CH-Fahrzeug**
**Frisch ab MFK**
**ab Service / Servicegepflegt**

Besten Dank für Ihr Interesse an einem unseren Fahrzeugen! ...",AusstattungenOptionale AusstattungAssist: Parkassistent mit Einparkhilfe plusAssistenzpaket TourAudi Sound SystemAudi virtual cockpitAussenspiegel elektrisch verstellbar mitInfotainment PaketAudi Sound SystemAudi connectFahrer-Informationssystem mit FarbdisplayLenkrad: Leder-Multifunktion plus Lenkrad im 3-Speichen-DesignMedia: Audi Phone BoxMedia: MMI Navigationssystem PlusKomfortschlüssel inkl. sensorgesteuerter GepäckraumentriegelungMedia: Audi Smartphone InterfaceSitze: Vordersitze heizbarTechnikpaketAssist: Einparkhilfe plusInnenspiegel automatisch abblendbarKlimatisierungsautomatik KomfortLED ScheinwerferTempomat mit GeschwindigkeitsbegrenzerArrow down iconMehr anzeigen,Albini Auto GmbH,"Riedmattstrasse 8, 8153 Rümlang-Zürich",,Mobil 076 813 32 32
1734007339-187,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-20-tdi-12050477,AUDI A4 2.0 TDI,***STARTET NICHT AB PLATZ***,CHF 1'600.–,Calendar icon03.2005Car iconLimousineRoad icon250'000 kmGas station iconDieselTransmission iconSchaltgetriebe manuellVehicle power icon140 PS (103 kW)Drive type iconVorderradantriebConsumption icon5.9 l/100 kmE,03.2005,250'000 km,Schaltgetriebe manuell,Vorderradantrieb,Limousine,Diesel,140 PS (103 kW),5.9 l/100 km,Nein,03.11.2022,Nein,***STARTET NICHT AB PLATZ***,AusstattungenSerienmässige Ausstattung3 Kopfstützen hintenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAlu-Räder 7Jx16 9-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen,"L&M Automobile An & Verkauf & Eintausch möglich. Wir entsorgen für sie Ihr Fahrzeug, gratis Abholung","Werkstrasse 27, 8222 Beringen SH",,Mobil 076 340 99 55
1734007341-188,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-45-tfsi-adv-s-tronic-qu-panodach-55-5-jahre-garantie-12012122,"AUDI A4 Avant 45 TFSI adv S-tronic qu*Panodach,-55%,5-Jahre Garantie*","Panorama Glasdach,Abstandsregeltempomat,Virtual Cockpit PLUS,Komfortschlüssel,MMI Navigation PLUS,5-Jahre Garantie,8-fach...",CHF 39'950.–,Calendar icon09.2023Car iconKombiRoad icon24'300 kmGas station iconBenzinTransmission iconAutomatVehicle power icon265 PS (195 kW)Drive type iconAllradConsumption icon-,09.2023,24'300 km,Automat,Allrad,Kombi,Benzin,265 PS (195 kW),-,Ja,Nein,Ja,"*** 19""Aluräder (44S) Audi Sport,5-Arm-Torsio,8.5x19""Alu mit 245/35R 19"" Reifen ( NEU) Aufpreis Fr. Fr.2'200.- ***

Sonderausstattungen laut Hersteller Audi AG:
(9AQ) 3-Zonen-Komfortklimaautomatik ...",AusstattungenOptionale AusstattungAirbag: Seitenairbags hintenAudi pre sense basicAudi virtual cockpit plusAussenspiegel rechts und links beheizbar und elektrisch anklappbarDachhimmel schwarzFahrwerk: SportfahrwerkGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 3-Zonen-KlimatisierungsautomatikKomfortmittelarmlehne vorneKomfortschlüssel inkl. sensorgesteuerter GepäckraumentriegelungArrow down iconMehr anzeigen,Bichsel Automobile GmbH,"Sägereistrasse 7, 8500 Frauenfeld",,Geschäft 079 697 32 63
1734007344-189,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=11,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-quattro-s-tronic-12021436,AUDI A4 Avant 2.0 TFSI quattro S-tronic,Frisch ab MFK & ab Service / Tempomat / Navigation / Klima / Sitzheizung vorne,CHF 9'800.–,Calendar icon09.2010Car iconKombiRoad icon170'200 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon211 PS (155 kW)Drive type iconAllradConsumption icon7.6 l/100 km,09.2010,170'200 km,Halbautomatisches Getriebe,Allrad,Kombi,Benzin,211 PS (155 kW),7.6 l/100 km,Ja,18.03.2024,Ja,"***Herzlich Willkommen***
Besten Dank für Ihr Interesse an unserem Fahrzeug. Sie können uns gerne telefonisch während unserer Bürozeiten erreichen.

Frisch ab MFK & ab Service
Tempomat ...",AusstattungenOptionale AusstattungKlima: 3-Zonen-KlimatisierungsautomatikMMI NavigationssystemPaket AdvanceKlima: 3-Zonen-KlimatisierungsautomatikPark Distance Control hintenTempomatVordersitze elektrisch verstellbarSerienmässige Ausstattung3 Kopfstützen hinten3 Speichen-Sportlenkrad3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenArrow down iconMehr anzeigen,A&S Dorfgarage GmbH,"Studacherstrasse 7a, 5416 Kirchdorf AG",,Geschäft 076 425 35 00
1734007348-190,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=10,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-design-s-tronic-12024330,AUDI A4 Avant 2.0 TFSI Design S-tronic,Frisch ab MFK bei übergabe/ NAVI/ Rückfahrkamera/ Sitzheizung,CHF 16'600.–,Calendar icon05.2017Car iconKombiRoad icon168'400 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconVorderradantriebConsumption icon5.2 l/100 kmC,05.2017,168'400 km,Halbautomatisches Getriebe,Vorderradantrieb,Kombi,Benzin,190 PS (140 kW),5.2 l/100 km,Ja,09.09.2020,Ja,"Grüezi und Herzlich Willkommen bei AutoX Garage, wir bedanken uns für ihr Interesse


FINANZIERUNG / LEASING & EINTAUSCH MÖGLICH


Gerne berechnen wir Ihnen Ihre individuelle ...",AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAblagen in den TürenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderAssist: Bremsassistent (BAS)Arrow down iconMehr anzeigen,AutoX Garage GmbH,"Maurenstrasse 5, 8575 Bürglen TG",,Geschäft 078 832 88 88
1734007351-191,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=10,,https://www.autoscout24.ch/de/d/audi-a4-12037298,AUDI A4,,CHF 2'200.–,Calendar icon07.1998Car iconLimousineRoad icon178'000 kmGas station iconBenzinTransmission iconAutomatVehicle power icon-Drive type icon-Consumption icon-,07.1998,178'000 km,Automat,-,Limousine,Benzin,-,-,Ja,29.03.2023,Nein,"Ab mfk 03.2023 un Service regelmäßig. 
Automat,  Klimaanlage  zwei Schlüssel. 
Achtfachbreif. 
ABS Lampe  lichtet. 
Auto hat Beule recht Seite, und Kratzer.",,Baidi Autos,"Sagenbach 20, 6033 Buchrain",,Geschäft 076 561 46 72
1734007353-192,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=10,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-style-12039240,AUDI A4 Avant 2.0 TFSI Style,,CHF 3'890.–,Calendar icon04.2011Car iconKombiRoad icon235'775 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon180 PS (132 kW)Drive type iconVorderradantriebConsumption icon6.6 l/100 kmE,04.2011,235'775 km,Schaltgetriebe manuell,Vorderradantrieb,Kombi,Benzin,180 PS (132 kW),6.6 l/100 km,Ja,02.02.2023,Nein,,AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAlu-Räder im 5-Speichen-Design 8x18JAluminiumapplikationen mattAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,A. Zidan Autohandel GmbH,"Mühlentalstrasse 261, 8200 Schaffhausen",,Mobil 076 410 01 00
